site_id,seeds_present,max_width,max_depth,notch_depth,petiole_length
6066,yes,104,66,13,52
6066,yes,92,58,19,51
6066,yes,103,62,4,53
6066,yes,100,69,10,57
6066,yes,91,62,8,46
6066,yes,102,66,0,69
6066,yes,99,67,0,57
6066,yes,98,58,0,41
6066,yes,104,65,22,58
6066,yes,80,60,6,77
6069,no,68,49,5,55
6069,no,62,51,6,67
6069,no,77,50,8,42
6069,no,86,72,4,75
6069,no,72,54,2,50
6069,no,70,63,0,76
6069,no,63,50,0,60
6069,no,72,73,0,71
6069,no,65,66,6,64
6069,no,69,48,0,58
6069,no,67,59,0,55
6071,yes,35,43,0,45
6071,yes,67,67,15,79
6071,yes,63,55,4,62
6071,yes,71,44,15,39
6071,yes,77,49,0,50
6071,yes,60,39,0,39
6071,yes,70,50,0,53
6071,yes,69,49,22,62
6071,yes,55,42,0,45
6071,yes,72,45,0,40